"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.12.2025","305,77","324,49","324,49","305,33","-6,39%"
"01.11.2025","326,63","332,07","334,84","326,52","-1,65%"
"01.10.2025","332,12","336,98","352,14","331,48","-2,47%"
"01.09.2025","340,54","352,32","383,58","338,40","-1,02%"
"01.08.2025","344,05","357,40","363,40","343,83","-3,73%"
"01.07.2025","357,37","363,57","369,62","350,79","-1,71%"
"01.06.2025","363,60","396,65","396,65","363,60","-8,24%"
"01.05.2025","396,25","403,58","405,74","367,86","-2,88%"
"01.04.2025","407,99","378,55","435,94","369,95","7,76%"
"01.03.2025","378,61","345,93","394,86","342,87","9,82%"
"01.02.2025","344,76","339,54","347,02","331,72","1,34%"
"01.01.2025","340,20","349,75","366,17","340,20","-2,71%"
"01.12.2024","349,67","338,19","349,67","327,37","3,77%"
"01.11.2024","336,98","350,45","352,55","335,39","-3,81%"
"01.10.2024","350,34","354,58","379,71","347,54","3,77%"
"01.09.2024","337,61","354,47","369,29","328,40","-4,86%"
"01.08.2024","354,86","344,83","388,13","344,83","3,05%"
"01.07.2024","344,37","359,96","363,04","339,60","-4,48%"
"01.06.2024","360,51","348,21","379,41","341,51","3,63%"
"01.05.2024","347,87","375,74","384,31","342,81","-7,70%"
"01.04.2024","376,88","383,89","398,89","370,70","-1,81%"
"01.03.2024","383,84","375,09","424,96","375,09","2,37%"
"01.02.2024","374,94","412,32","419,50","371,01","-8,68%"
"01.01.2024","410,57","367,81","411,27","367,81","11,53%"
"01.12.2023","368,14","416,85","429,36","357,53","-12,05%"
"01.11.2023","418,57","457,68","457,68","409,14","-8,63%"
"01.10.2023","458,11","460,29","491,32","458,11","-0,30%"
"01.09.2023","459,49","440,55","464,01","434,97","4,49%"
"01.08.2023","439,73","408,54","477,75","408,54","9,50%"
"01.07.2023","401,57","494,87","520,20","401,57","-18,72%"
"01.06.2023","494,07","580,47","580,47","481,79","-16,96%"
"01.05.2023","594,99","523,06","683,58","523,06","10,30%"
"01.04.2023","539,41","535,91","572,20","531,59","0,43%"
"01.03.2023","537,12","577,04","582,02","523,71","-7,45%"
"01.02.2023","580,36","557,55","601,71","519,80","1,30%"
"01.01.2023","572,91","507,39","572,91","471,30","11,54%"
"01.12.2022","513,65","499,51","499,51","499,51","0,39%"
"01.11.2022","511,65","618,93","618,93","618,93","-17,23%"
"01.10.2022","618,13","718,47","718,47","718,47","-16,74%"
"01.09.2022","742,44","739,48","739,48","739,48","1,50%"
"01.08.2022","731,48","703,90","703,90","703,90","-6,06%"
"01.07.2022","778,68","753,23","753,23","753,23","3,28%"
"01.06.2022","753,93","661,26","661,26","661,26","15,08%"
"01.05.2022","655,16","592,89","592,89","592,89","11,82%"
"01.04.2022","585,89","503,55","503,55","503,55","15,94%"
